Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.78      0.04     0.04  7808079     0.00     0.00  std::vector<Edge*, std::allocator<Edge*> >::operator[](unsigned long)
  6.78      0.08     0.04  2177982     0.00     0.00  std::less<Edge*>::operator()(Edge*, Edge*) const
  6.78      0.12     0.04     1998     0.02     0.10  basesolution::collect_2hop_neighbors(Edge*)
  5.09      0.15     0.03   242313     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_get_insert_unique_pos(Edge* const&)
  5.09      0.18     0.03   174401     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  5.09      0.21     0.03     1998     0.02     0.27  basesolution::insert(Edge*)
  3.39      0.23     0.02  4866742     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  3.39      0.25     0.02  2177982     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_S_key(std::_Rb_tree_node<Edge*> const*)
  3.39      0.27     0.02  1923355     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  3.39      0.29     0.02   461840     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::find(int const&)
  3.39      0.31     0.02    13893     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_erase(std::_Rb_tree_node<Edge*>*)
  2.54      0.33     0.02   452577     0.00     0.00  std::_Rb_tree_node<Edge*>* std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_Alloc_node::operator()<Edge* const&>(Edge* const&) const
  1.70      0.34     0.01  5138547     0.00     0.00  std::vector<Edge*, std::allocator<Edge*> >::size() const
  1.70      0.35     0.01  4695561     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  1.70      0.36     0.01  2751519     0.00     0.00  Edge* const& std::forward<Edge* const&>(std::remove_reference<Edge* const&>::type&)
  1.70      0.37     0.01  2657622     0.00     0.00  std::_Identity<Edge*>::operator()(Edge* const&) const
  1.70      0.38     0.01  2554321     0.00     0.00  __gnu_cxx::__aligned_membuf<Edge*>::_M_ptr() const
  1.70      0.39     0.01  2179956     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  1.70      0.40     0.01   905154     0.00     0.00  __gnu_cxx::__aligned_membuf<Edge*>::_M_addr()
  1.70      0.41     0.01   793389     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_S_left(std::_Rb_tree_node_base*)
  1.70      0.42     0.01   574722     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
